Step,Completed?,Item/Objective,Category,Location,Notes
1,FALSE,Tutorial Checkpoint,Checkpoint,Limgrave,Starting Area
2,FALSE,The Ring,Gesture,Elden Ring,Unlocked by pre-ordering Elden Ring or by defeating a boss as a Yellow Phantom
3,FALSE,Tarnished Wizened Finger,Online,Chapel of Anticipation,Online/PVP Item
4,FALSE,Grafted Scion Boss (1st Attempt),Boss,Chapel of Anticipation,"You can activate the boss and jump off the cliff. If you manage to win, you'll receive Ornamental Straight Sword and Golden Beast Crest Shield. You'll get another chance later"
5,FALSE,Cave of Knowledge,SoG/Location,Stranded Graveyard,Tutorial Cave
6,FALSE,Soldier of Godrick,Boss,Stranded Graveyard,Tutorial Boss
7,FALSE,Strength!,Gesture,Stranded Graveyard,Emote on the cliff at the end of the tutorial area
8,FALSE,Stranded Graveyard,SoG/Location,Stranded Graveyard,"After going through the door, rest at this SoG"
9,FALSE,Finger Severer,Online,Stranded Graveyard,Just past SoG
10,FALSE,Tarnished's Furled Finger,Online,Stranded Graveyard,Just past SoG
11,FALSE,Limgrave,Checkpoint,West Limgrave,First main area after leaving the Stranded Graveyard SoG and going up the lift
12,FALSE,First Step,SoG/Location,West Limgrave,
13,FALSE,Varre,NPC,West Limgrave,Speak to Varre at First Step SoG. Exhaust all dialogue
14,FALSE,Small Golden Effigy,Online,West Limgrave,Down slope from Varre
15,FALSE,Church of Elleh,SoG/Location,West Limgrave,"North of The First Step SoG, past the Tree Sentinel boss. Kale can be found here, as well as a Smithing Stone 1"
16,FALSE,Kale,NPC,West Limgrave,"Merchant who sells items. Exhaust ""About Kale"" and ""Recommendation"" options and Dialogue. Buy crafting kit, reload area, speak to him again for additional dialogue"
17,FALSE,Crafting Kit,Key Item,West Limgrave,Sold by Kale. Purchase this ASAP
18,FALSE,Nomadic Warrior's Cookbook 1,Cookbook,West Limgrave,Sold by Kale
19,FALSE,Nomadic Warrior's Cookbook 2,Cookbook,West Limgrave,Sold by Kale
20,FALSE,Missionary's Cookbook 1,Cookbook,West Limgrave,Sold by Kale
21,FALSE,Telescope,Utility Item,West Limgrave,Sold by Kale
22,FALSE,Torch,Torch,West Limgrave,"Sold by Kale. Purchase this now, having light in darker areas will make things easier"
23,FALSE,Large Leather Shield,Medium Shield,West Limgrave,Sold by Kale
24,FALSE,Chain Set,Armor Set,West Limgrave,Sold by Kale
25,FALSE,Cracked Pot,Consumable,West Limgrave,"Sold by Kale, three are sold"
26,FALSE,Gatefront,SoG/Location,West Limgrave,"From the Church of Elleh, head through the cracked wall and North/East along the dirt road. Follow this until you see the ruins over the hill, and head toward the large gate to the left of these ruins"
27,FALSE,Melina,NPC,West Limgrave,Found when resting at the Gatefront Ruins SoG for the first time. Accept her proposal. She will give you the Spectral Steed Whistle
28,FALSE,Spectral Steed Whistle,Mount,West Limgrave,Given to player by speaking to Melina at the Gatefront Ruins SoG
29,FALSE,Lordsworn's Greatsword,Greatsword,Gatefront Ruins,"In chest on back of wagon, Northwest part of the Gatefront Ruins"
30,FALSE,Map: Limgrave West,Map,Gatefront Ruins,Found near pillar from Agheel Lake North
31,FALSE,Ash of War: Storm Stomp,Ash of War,Gatefront Ruins,"In Cellar, South part of the Gatefront Ruins"
32,FALSE,Whestone Knife,Key Item,Gatefront Ruins,"In Cellar, South part of the Gatefront Ruins"
33,FALSE,Flail,Flail,Gatefront Ruins,"In chest on the back of wagon, Northeast part of the Gatefront Ruins"
34,FALSE,Agheel Lake North,SoG/Location,West Limgrave,East side of the Gatefront Ruins
35,FALSE,Ranni,NPC,West Limgrave,Warp back after getting Torrent to speak to Renna (Ranni). Exhaust Dialogue to get Spirit Calling Bell and Lone Wolf Ashes. Continue exhausting dialogue until she disappears
36,FALSE,Spirit Calling Bell,Key Item,Church of Elleh,Received from Ranni when you first meet her at the Church of Elleh
37,FALSE,Lone Wolf Ashes,Spirit Ashes,Church of Elleh,Received from Ranni when you first meet her at the Church of Elleh
38,FALSE,Melina,NPC,Church of Elleh,Rest at Church of Elleh SoG and speak to Melina
39,FALSE,Kale,NPC,Church of Elleh,Speak to Kale to hear about the merchants and some lore
40,FALSE,Melina,NPC,West Limgrave,Speak to Melina at Agheel Lake North SoG by resting at the SoG
41,FALSE,Boc,NPC,West Limgrave,"Head Southeast from the Agheel Lake North SoG. Between bridge and telescope, roll into a little tree to reveal Boc"
42,FALSE,Ash of War: Determination,Ash of War,West Limgrave,Head Southeast from the Agheel Lake North SoG. Near the bridge you can find a scarab to kill for this Ash of War
43,FALSE,Mistwood Outskirts,SoG/Location,East Limgrave,"From Agheel Lake North, head Southeast past where you found Boc and the Ash of War Scarab and go across the bridge. Once across, head North/Northeast along the road. Will be just to the right of the road near a boulder"
44,FALSE,Map: Limgrave East,Map,East Limgrave,Head East from the Mistwood Outskirts SoG. You can go into your map and mark the "glowing pillar" to make this easier to find
45,FALSE,Nomadic Warrior's Cookbook 4,Cookbook,East Limgrave,"West from Map: Limgrave East, near a Runebear scratching a tree"
46,FALSE,Ash of War: Ground Slam,Ash of War,East Limgrave,"Head South/Southwest from the Nomadic Warrior's Cookbook 4, to the right of the Minor Erdtree, and kill the scarab"
47,FALSE,Minor Erdtree,SoG/Location,East Limgrave,South/Southeast of the Map: Limgrave East locaiton. Look for the massive tree
48,FALSE,Spiked Cracked Tear,Crystal Tear,East Limgrave,Found near Minor Erdtree in East Limgrave
49,FALSE,Greenspill Crystal Tear,Crystal Tear,East Limgrave,Found near Minor Erdtree in East Limgrave
50,FALSE,Siofra River Well,SoG/Location,East Limgrave,"North of Minor Erdtree and East of the map. Look for building and go down well, activate SoG, then come back up"
51,FALSE,Siofra River Well Depths,SoG/Location,Siofra River,Found at the bottom of the Siofra River Well lift
52,FALSE,Mistwood Ruins,SoG/Location,East Limgrave,"South/Southwest of where you picked up the map, along the road. You will hear howling when you get close, this is Blaidd and necessary later. There is a chest that contains a Smithing Stone 2"
53,FALSE,Howl,Event,East Limgrave,"in the Mistwood Ruins, you should hear a howl. Once you hear it, warp back to Church of Elleh"
54,FALSE,Kale,NPC,West Limgrave,Return to Church of Elleh SoG after hearing the howl in the Mistwood Ruins and Kale will give you the Finger Snap Gesture
55,FALSE,Finger Snap,Gesture,West Limgrave,Given by Kale in Church of Elleh after hearing the Howl in the Mistwood Ruins
56,FALSE,Blaidd,NPC,East Limgrave,"Go back to the Mistwood Ruins, then use the snap gesture near where you heard the Howl. You can see Blaidd on top of a tower in the ruins and he will jump down. Exhaust his dialogue"
57,FALSE,Axe Talisman,Talisman,East Limgrave,Underground beneath the Mistwood Ruins
58,FALSE,Sacrificial Twig,Talisman,East Limgrave,Found West of Mistwood Ruins in front of a large gravestone near a cliff
59,FALSE,Agheel Lake South,SoG/Location,West Limgrave,"From Agheel Lake North SoG, head South and cross the bridge, then head South along the East edge of the lake and past the giant crab"
60,FALSE,Larval Tear,Key Item,West Limgrave,"From Agheel Lake South SoG, head East to find a Wandering Noble enemy. They will transform into a Lesser Runebear. Drops this if killed"
61,FALSE,Forlorn Hound Evergaol,Evergaol,West Limgrave,"From Agheel Lake South SoG, head South and enter the Evergaol (glowing purple insignia on the ground). Summon Blaidd"
62,FALSE,Bloodhound Knight Darriwil,Boss,West Limgrave,Found in Forlorn Hound Evergaol. Drops the Bloodhound's Fang weapon
63,FALSE,Bloodhound's Fang,Curved Greatsword,West Limgrave,Received from defeating Bloodhound Knight Darriwil in the Forlorn Hound Evergaol. This is a decent weapon to use as it has bleed and can make most of the game easier
