Step,Completed?,Item/Objective,Category,Location,Notes
1,FALSE,Needle Knight Leda,NPC,Mohgwyn Palace,Found at the Cocoon of the Empyrean SoG after defeating Mohg. Speak to her for lore regarding Miquella and the Land of Shadow
2,FALSE,Gravesite Plain,Checkpoint,Gravesite Plain,"First area after interacting with the arm coming out of the cocoon in the Mohg boss arena. Upon reaching the new area, exit the cave to reach the new region"
3,FALSE,Gravesite Plain (SoG),SoG/Location,Gravesite Plain,First SoG after exiting the cave in the new region
4,FALSE,Map: Gravesite Plain,Map,Gravesite Plain,"Head Northeast from the Gravesite Plain SoG, toward the Belurat legacy dungeon"
5,FALSE,Ghost,Ghost,Gravesite Plain,Found just past the Gravesite Map location
6,FALSE,Scorched Ruins,Ghost,Gravesite Plain,Found just North of the Gravesite Map location
7,FALSE,Hefty Cracked Pot,Consumable,Scorched Ruins,Found up on a ledge on a corpse to the right after entering the ruins
8,FALSE,Greater Potentate's Cookbook 1,Cookbook,Scorched Ruins,"Found on a corpse on the ruined steps, continuing up from the Hefty Cracked Pot"
9,FALSE,Blade of Mercy,Talisman,Scorched Ruins,"Continue through the ruins and make your way to the highest tower. Will be in that tower behind a door, in a chest"
10,FALSE,Scorched Ruins (SoG),SoG/Location,Gravesite Plain,Continue North through the Scorched Ruins to find its SoG
11,FALSE,Ghost,Ghost,Gravesite Plain,Continue briefly East from the Scorched Ruins SoG to find this ghost. Exhaust Dialogue for lore
12,FALSE,Pot-Wielding Shadow Undead,Enemy,Gravesite Plain,"From the Scorched Ruins SoG, head East and look for a Shadow Undead holding a pot above its head. Kill this for a Scadutree Fragment"
13,FALSE,Scadutree Fragment,Key Item,Gravesite Plain,Dropped by the Pot-Wielding Shadow Undead near the cemetary to the East of the Scorched Ruins
14,FALSE,Revered Spirit Ashes,Key Item,Gravesite Plain,"Continue South and then Southeast from the Pot-Wielding Shadow enemy, and up a small cliff to find a headless corpse statue. Interact with it to receive this item"
15,FALSE,Larval Tear,Key Item,Gravesite Plain,Continue South/Southwest from the Revered Spirit Ashes item and find this surrounded by spirit gravestones.NOTE: Need to do this at night to see the spirit gravestones
16,FALSE,"Logur, the Beast Claw",Invader,Gravesite Plain,"From the Scorched Ruins or from the Larval Tear in the previous step, head South along the road and then into the woods. Enemy walks around the woods. Drops the Beast Claw"
17,FALSE,Beast Claw,Beast Claw,Gravesite Plain,"Dropped by Logur, the Beast Claw"
18,FALSE,Church of Consolation,SoG/Location,Gravesite Plain,"Found by continuing along the road from the Scorched Ruins, leading South and then curving back North/Northeast"
19,FALSE,Black Steel Knight,Enemy,Church of Consolation,"Found in the Church of Consolation, drops the Black Steel Greathammer"
20,FALSE,Black Steel Greathammer,Great Hammer,Church of Consolation,Dropped by the Black Steel knight in the Church of Consolation
21,FALSE,Scadutree Fragment,Key Item,Church of Consolation,Two are found in the Church of Consolation
22,FALSE,Western Nameless Mausoleum,SoG/Location,Gravesite Plain,"Return to the Scorched Ruins SoG, then head directly West until you find the decaying trees and a building, surrounded by giant bird creatures"
23,FALSE,Blackgaol Knight,Boss,Western Nameless Mausoleum,Found inside the Western Nameless Mausoleum. Drops Greatsword of Solitude and the Solitude Set
24,FALSE,Greatsword of Solitude,Greatsword,Western Nameless Mausoleum,Dropped by the Blackgaol Knight
25,FALSE,Solitude Set,Armor Set,Western Nameless Mausoleum,Dropped by the Blackgaol Knight
26,FALSE,Furnace Golem,Enemy,Gravesite Plain,"Found North along the path from the Scorched Ruins SoG. NOTE: Difficult enemy early on, you can come back to this later. Drops the Deflecting Hardtear "
27,FALSE,Deflecting Hardtear,Crystal Tear,Gravesite Plain,Dropped by the Furnace Golem enemy North of the Scorched Ruins SoG
28,FALSE,Three Path Cross,SoG/Location,Gravesite Plain,Return to the Scorched Ruins SoG and head North/Northeast. Try and avoid the large fire giant for now. Continue until you see a large doorway and you will find this SoG nearby
29,FALSE,Miquella's Cross,Cross,Gravesite Plain,Found near the Three Path Cross SoG. Interact with this
30,FALSE,Scadutree Fragment,Key Item,Gravesite Plain,Found near the Three Path Cross SoG. Interact with this
31,FALSE,Redmane Freyja,NPC,Gravesite Plain,Found near the Three Path Cross SoG. Interact with this. Speak to them for dialogue and to advance their quest
32,FALSE,Hornsent,NPC,Gravesite Plain,Found near the Three Path Cross SoG. Interact with this. Speak to them for dialogue and to advance their quest. They will give you the Cross Map
33,FALSE,Cross Map,Quest Item,Gravesite Plain,Given to you by Hornsent near the Three Path Cross SoG
34,FALSE,Backhand Blade,Backhand Blade,Gravesite Plain,"From the Three Path Cross SoG, head East past the fire giant until you find a small mausoleum with this weapon"
35,FALSE,The Sacred Tower Painting,Painting,Gravesite Plain,Continue South/Southeast from the Backhand Blade location along the cliff face to find this painting in a small alcove
36,FALSE,Ash of War: Savage Lion's Claw,Ash of War,Gravesite Plain,"Return to the Three Path Cross SoG and head Northwest, following the cliff face (not through the large door). Continue along and you will find a small camp with this at the small fire"
37,FALSE,Main Gate Cross,SoG/Location,Gravesite Plain,Return to the Three Path Cross SoG and head West through the large doorway and follow the road until just before the large stairwell. You will find two more NPCs here as well as another Miquella Cross
38,FALSE,Miquella's Cross,Cross,Gravesite Plain,Found near the Main Gate Cross SoG. Interact with it
